0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
0.67954332,0.00223895,0.16094761,0.77607165,0.31661093,0.49994514,0.63310068,0.99986895,0.09088931,0.83768718,0.52665265,0.53110191,0.59381208,0.90018017,0.23017453,0.90102008,0.46555204,0.76256283,0.45010739,0.78117216,0.49225486,0.58992833,0.76283467,0.14412618,0.68602221,0.46969163,0.81637319,0.73697291,0.80071544,0.43913216,0.64894117,0.37052395,0.86996966,0.17638517,0.20779499,0.05955289,0.69865583,0.50307307,0.37408166,0.46220256,0.88016141,0.28221101,0.830593,0.43537592,0.71324627,0.92614143,0.57570221,0.72893226,0.46483545,0.75611663,0.70192088,0.56137343,0.62106205,0.13205373,0.56002708,0.47756137,0.85867814,0.72948623,0.8845531,0.42241163,0.00201734,0.99994593,0.85386948,5.377e-05,6.993e-05,0.00026603,0.32094216,0.35727047,0.90325955,0.95038985,0.43410666,0.88664852,0.88685045,0.44335739,0.88553012,0.25714961,0.58501478,0.20880603,0.76113711,0.4234074,0.62341142,0.54426626,0.48808289,0.42654925,0.41031908,0.2323105,0.37667961,0.23094041,0.55067861,0.74791323,0.28251413,0.42301542,0.55565782,0.71233119,0.35170517,0.45313699,0.29110195,0.56725908,0.60936456,0.57128345,0.000207,17
0.66235633,0.00387411,0.0709356,0.78858743,0.32173552,0.49573456,0.63641998,0.99986935,0.09116163,0.84143342,0.53395242,0.53306844,0.56963203,0.90529413,0.22665659,0.89820381,0.47014759,0.76633727,0.43965777,0.78717169,0.48736198,0.5560021,0.77199039,0.13435195,0.66303605,0.43720384,0.81628353,0.72037711,0.80848276,0.43260221,0.62097816,0.4084891,0.87417084,0.18740431,0.1935308,0.06333155,0.73700127,0.5126704,0.37961584,0.4471795,0.88518416,0.28228034,0.88231885,0.57113333,0.73577336,0.88442779,0.47064057,0.71662644,0.45761745,0.7599677,0.69905707,0.59673338,0.61595764,0.14419537,0.53292141,0.41186084,0.85450558,0.85157989,0.79275742,0.47355805,0.0037595,3.739e-05,0.85823759,3.242e-05,0.99997505,0.00028751,0.30635601,0.39092044,0.90686392,0.93699412,0.45947634,0.88854794,0.88988293,0.46552055,0.88805319,0.27789039,0.5908197,0.23265514,0.76509403,0.40528938,0.6033385,0.5542851,0.52710289,0.3883249,0.42805174,0.25594495,0.36491365,0.23215229,0.56172529,0.73730806,0.27796991,0.39602711,0.53484974,0.73696001,0.35764369,0.42323965,0.33527528,0.60425625,0.57145288,0.5482784,0.000163,18
0.56079116,0.99683198,0.91155602,0.80550023,0.3696887,0.55195329,0.69072973,0.99978186,0.13583942,0.82451325,0.57802431,0.58128268,0.53500101,0.91162711,0.24122916,0.89246866,0.50400319,0.80888799,0.40563341,0.82915374,0.52225222,0.59390459,0.76279881,0.16347687,0.66529874,0.48877515,0.8534224,0.6963314,0.83862187,0.46022731,0.19672034,0.47745173,0.96261704,0.30615215,0.15710829,0.10898477,0.73003579,0.55294019,0.4261027,0.37644341,0.88547541,0.26170667,0.89708687,0.59667792,0.75817961,0.8597425,0.4922156,0.7664909,0.41552021,0.80032496,0.73376202,0.58602726,0.61708661,0.15604121,0.85224605,0.4689029,0.88458747,0.69928166,0.92163947,0.4385771,0.99860907,0.0001345,0.11577704,0.52704846,0.5072812,0.99478799,0.68756259,1.0,0.73425593,4.428e-05,0.99994655,4.47e-05,0.82657362,0.4949199,0.93469005,0.36886037,0.58003946,0.38655331,0.64194125,0.34824205,0.61386148,0.59075531,0.66372687,0.6465158,0.54014676,0.30651393,0.14594442,0.28848259,0.49419009,0.52710557,0.09219312,0.13241575,0.52188171,0.77078546,0.34973696,0.67942452,0.48590392,0.62194849,0.25408157,0.25569984,0.00034,20
0.59411341,0.99595298,0.87043536,0.80986654,0.29051906,0.53916541,0.75591408,0.99985472,0.14509927,0.82969833,0.51629349,0.61932001,0.64716857,0.89487657,0.29758793,0.82117975,0.4526693,0.85945881,0.4179093,0.77211358,0.58510324,0.68124225,0.7742759,0.21293921,0.54138292,0.4321518,0.89351601,0.7206173,0.81566313,0.5433006,0.17995257,0.46511996,0.97224696,0.28095792,0.25334765,0.09371129,0.80914862,0.50947831,0.47077253,0.49934847,0.87269992,0.32628366,0.84628518,0.55328286,0.8173334,0.82263411,0.44615124,0.80938519,0.40140649,0.73622937,0.79279338,0.900423,0.81911635,0.23343187,0.74009561,0.40264251,0.93833053,0.82844625,0.80401177,0.57551161,0.99562855,0.00016463,0.1477569,0.51633577,0.50448188,0.99961273,0.68772338,0.98297281,0.74096992,3.229e-05,0.99997873,3.059e-05,0.82150211,0.48668868,0.93998643,0.32605665,0.57093439,0.34354828,0.65301728,0.34124968,0.64232405,0.58835059,0.56832828,0.65694497,0.54020779,0.27925891,0.13713282,0.25120072,0.54281383,0.523085,0.08446002,0.15172866,0.56379237,0.75555869,0.31768881,0.70567874,0.42247499,0.58169537,0.28325369,0.23826229,1.68e-05,21
0.68322046,0.00348049,0.16159318,0.83176923,0.40162525,0.50040252,0.63668753,0.99993124,0.0891212,0.8449902,0.58904845,0.50123352,0.48808983,0.90631244,0.17937013,0.92664816,0.51704797,0.73333668,0.41702783,0.83730355,0.43945893,0.50462409,0.73322176,0.10329523,0.71514877,0.50613621,0.79252974,0.68447763,0.84624647,0.37863724,0.64333705,0.39251824,0.87172471,0.22152649,0.09926033,0.08900782,0.6909758,0.55103197,0.34616004,0.35896182,0.88614341,0.21589695,0.91846789,0.60681046,0.6873009,0.87995535,0.50400288,0.70110761,0.45030653,0.80793686,0.65663628,0.56563888,0.57765969,0.13217843,0.5820387,0.50334491,0.8384083,0.7060227,0.93049586,0.38752675,0.00598607,0.99995953,0.89309251,9.31e-06,7.329e-05,0.00030885,0.31607727,0.37704986,0.90456949,0.94500177,0.4483864,0.88747692,0.89069339,0.45646819,0.88677406,0.25295324,0.5919926,0.21109669,0.73491128,0.4107627,0.61618022,0.5575501,0.49831492,0.38106975,0.46856224,0.2446585,0.31885686,0.30284028,0.58688237,0.76326086,0.28316344,0.38711272,0.55278128,0.69647228,0.33948189,0.38008598,0.33638527,0.50969144,0.57869305,0.52718047,2.18e-05,22
0.59844284,0.99753782,0.92986942,0.63313637,0.11535482,0.47489029,0.76216163,0.99989673,0.14387348,0.82606865,0.32698466,0.57302941,0.86688911,0.80308143,0.37843147,0.68961057,0.37251945,0.85570503,0.60825534,0.57199705,0.47673839,0.59987224,0.91410707,0.2977193,0.86189157,0.41087487,0.78370376,0.67087543,0.60749419,0.37118184,0.18263704,0.3147013,0.9710719,0.25029136,0.55546679,0.0736908,0.84218248,0.26106926,0.45562801,0.79127748,0.71057917,0.50776826,0.49793013,0.48959043,0.8574139,0.64907977,0.35644717,0.85893283,0.77470531,0.5874926,0.62198795,0.89315267,0.89066835,0.36481892,0.88798778,0.41241645,0.74663302,0.57964684,0.67586,0.33470806,0.99644331,0.00015233,0.1503098,0.51968433,0.46988341,0.99906484,0.74022772,0.76266189,0.74076794,8.63e-06,0.99995163,2.477e-05,0.79067646,0.39314269,0.93821776,0.32417848,0.58601299,0.3563343,0.73855642,0.2768438,0.64307462,0.59132967,0.58388895,0.5901746,0.40434366,0.283869,0.17375227,0.35952216,0.66469678,0.48680273,0.12112869,0.17991335,0.63116854,0.56652902,0.30392761,0.84738156,0.24034668,0.49124023,0.36182254,0.34099504,0.000486,23
0.66763333,0.00226697,0.0314095,0.80185717,0.35639219,0.48785254,0.6015597,0.99990437,0.07993378,0.79910389,0.5782544,0.54675021,0.5155353,0.91254406,0.20313743,0.8377923,0.49665342,0.79280718,0.37000993,0.83213156,0.49459577,0.58946164,0.75355361,0.13603038,0.63709445,0.51090185,0.84244144,0.67447361,0.84573863,0.444878,0.66634658,0.42445841,0.86904416,0.17716124,0.14810614,0.06522267,0.76500254,0.56989369,0.4005352,0.39877888,0.88460961,0.2221256,0.76109434,0.45647323,0.74885292,0.90151395,0.59714768,0.75256424,0.36811044,0.80147214,0.71529073,0.84936394,0.7995211,0.15578088,0.52612288,0.53493791,0.88089476,0.69676665,0.93080354,0.44474334,0.00302203,0.9999667,0.87889642,3.119e-05,8.525e-05,0.00030031,0.33044656,0.40515093,0.90174995,0.94229479,0.46837656,0.88558462,0.90147288,0.47654021,0.88543282,0.27420434,0.56768624,0.22095608,0.75664852,0.39558387,0.65203956,0.58946689,0.45607012,0.36432528,0.48405821,0.2428686,0.37382915,0.22844203,0.53891073,0.74694652,0.31879762,0.38939437,0.53678945,0.73630363,0.37650604,0.37435352,0.37095781,0.55413539,0.57815176,0.58593763,0.000193,24
0.68512171,0.00338802,0.0,0.79321486,0.69136243,0.96170752,0.62119546,0.99984616,0.99493863,0.83620479,0.43496312,0.97906115,0.56700997,0.20449273,0.90173145,0.89702402,0.46059335,0.95687972,0.43460608,0.20585079,0.90577686,0.57035826,0.32315751,0.95533974,0.68332768,0.45893876,0.77852711,0.7214116,0.29624291,0.89491148,0.67458202,0.48601901,0.10657271,0.1683537,0.81118177,0.9739902,0.69853465,0.4707931,0.98003764,0.44010873,0.12545578,0.80594593,0.90824616,0.44613998,0.90230544,0.85154803,0.58846656,0.93529823,0.45027242,0.23860526,0.83944281,0.8286506,0.28611937,0.9440712,0.55625084,0.43153627,0.76400011,0.72774509,0.25713116,0.81700538,0.00340951,3.574e-05,0.83051159,3.365e-05,0.9999708,0.00025746,0.3353842,0.45900056,0.08622349,0.94797829,0.05946045,0.59890846,0.89884482,0.93798338,0.59948249,0.25466916,0.58684214,0.20813002,0.89066938,0.38121862,0.63617557,0.51233415,0.38710667,0.61561784,0.67447524,0.25881578,0.51923328,0.51089339,0.59401148,0.73839108,0.32003959,0.41352135,0.74318917,0.77132227,0.27262762,0.68987587,0.42753844,0.43812613,0.66029438,0.62101301,0.000216,26
0.60554414,0.99425754,0.85390747,0.74685488,0.20762532,0.51973686,0.76277609,0.99973852,0.14794904,0.82595391,0.43160113,0.62377225,0.76197139,0.85933786,0.33142857,0.80416463,0.38941962,0.86360182,0.46700802,0.6910673,0.5997001,0.74778569,0.7587887,0.24285959,0.54614913,0.40837534,0.90091813,0.77561154,0.73488206,0.55439722,0.179389,0.45253054,0.97296792,0.23439775,0.37777869,0.07868099,0.81473169,0.42546895,0.47645301,0.62315733,0.84375035,0.37767164,0.74409649,0.36262503,0.79948653,0.88154339,0.50250019,0.83249825,0.44324725,0.67732452,0.79682792,0.72155196,0.6244303,0.22906935,0.45862972,0.44094799,0.9242819,0.7574418,0.78378092,0.47970623,0.99588255,0.00011364,0.16706989,0.51479409,0.50163026,1.0,0.69238151,0.96450186,0.74169714,0.0,0.9999331,5.275e-05,0.81905517,0.47881091,0.94046046,0.31194907,0.57546314,0.34167662,0.69852749,0.29930987,0.64162472,0.58695683,0.60692827,0.61790917,0.52443554,0.26023772,0.16040092,0.30506409,0.51791931,0.48911591,0.11478314,0.15773429,0.61139884,0.70785533,0.30967668,0.74076843,0.38249143,0.5533913,0.34518176,0.30761657,5.01e-05,27
0.57787534,0.99513382,0.95852144,0.78242592,0.33384875,0.56229241,0.7132711,0.99974828,0.1430148,0.76982257,0.56585871,0.63158816,0.56996184,0.90813101,0.26348525,0.79239368,0.49675453,0.87640622,0.37590714,0.82485988,0.56628841,0.65708151,0.75350696,0.19516712,0.91185069,0.53316023,0.79613345,0.68129902,0.84989928,0.51587016,0.16976776,0.44971352,0.96674297,0.33295373,0.20473927,0.1048273,0.7546905,0.54660989,0.48491474,0.43572751,0.87811097,0.26814194,0.75010444,0.45726164,0.8210775,0.60994624,0.58832199,0.92390041,0.37013106,0.79307775,0.77844208,0.67901276,0.6054696,0.20770994,1.0,0.50400673,0.84495637,0.80347972,0.79023656,0.49508834,0.99772956,0.00012947,0.13533762,0.5156645,0.50096553,0.99767167,0.68928816,0.96139333,0.73761808,3.921e-05,0.99990541,2.813e-05,0.8162129,0.47664742,0.93716113,0.34176215,0.58307535,0.36626043,0.68129355,0.31508292,0.61147084,0.57299639,0.64205828,0.61546957,0.52124334,0.29172342,0.15223552,0.32035369,0.55392613,0.52843593,0.12130164,0.11489439,0.58781784,0.72244164,0.30222252,0.65768395,0.39625236,0.58733522,0.2574681,0.19529177,0.000423,29
